-20,0,25,0,755.4253,732.4089,73.9879,0.3934507,0.6781564,73.9879,475.4038,669.8034,51.83525,0.2476061,0.6201884,51.83525,674.8453,732.4089,65.59999,0.3514819,0.8300403,65.59999,3.29486,17.09655,5.422928,True
-19.9341,0.338007,24.89154,0,755.2175,734.8494,73.6693,0.3933425,0.6804161,73.6693,476.1807,676.3714,51.68771,0.2480108,0.6262698,51.68771,674.3129,734.8494,65.26199,0.3512046,0.8303105,65.26199,3.29486,17.09655,5.422928,False
-19.9341,0.334083,24.89154,0.1962,755.2253,734.8139,73.67213,0.3933465,0.6803833,73.67213,476.2025,676.3023,51.69004,0.2480221,0.6262059,51.69004,674.33,734.8139,65.26591,0.3512135,0.8302906,65.26591,3.29486,17.09655,5.422928,False
-19.9341,0.326235,24.89154,0.3924,755.241,734.743,73.67778,0.3933547,0.6803176,73.67778,476.2461,676.1642,51.69469,0.2480448,0.626078,51.69469,674.3643,734.743,65.27376,0.3512314,0.8302509,65.27376,3.29486,17.09655,5.422928,False
-19.9341,0.314463,24.89154,0.5886,755.2646,734.6367,73.68625,0.393367,0.6802192,73.68625,476.3114,675.9572,51.70168,0.2480789,0.6258863,51.70168,674.4158,734.6367,65.28553,0.3512582,0.8301913,65.28553,3.29486,17.09655,5.422928,False
-19.9341,0.298767,24.89154,0.7848,755.296,734.4949,73.69756,0.3933833,0.6800879,73.69756,476.3986,675.6812,51.71099,0.2481243,0.6256307,51.71099,674.4846,734.4949,65.30122,0.351294,0.8301119,65.30122,3.29486,17.09655,5.422928,False
-19.9341,0.279147,24.89154,0.981,755.3352,734.3179,73.71167,0.3934037,0.679924,73.71167,476.5074,675.3364,51.72264,0.248181,0.6253114,51.72264,674.5703,734.3179,65.32085,0.3513387,0.8300128,65.32085,3.29486,17.09655,5.422928,False
-19.9341,0.255603,24.89154,1.1772,755.3823,734.1054,73.72862,0.3934283,0.6797273,73.72862,476.638,674.9227,51.73661,0.248249,0.6249285,51.73661,674.6731,734.1054,65.34439,0.3513922,0.8298939,65.34439,3.29486,17.09655,5.422928,False
-19.9341,0.228135,24.89154,1.3734,755.4371,733.8577,73.7484,0.3934568,0.6794979,73.7484,476.7902,674.4405,51.75291,0.2483282,0.6244819,51.75291,674.793,733.8577,65.37186,0.3514547,0.8297552,65.37186,3.29486,17.09655,5.422928,False
-19.9341,0.196743,24.89154,1.5696,755.4998,733.5748,73.77099,0.3934895,0.6792359,73.77099,476.9641,673.8896,51.77154,0.2484188,0.6239719,51.77154,674.9299,733.5748,65.40325,0.351526,0.829597,65.40325,3.29486,17.09655,5.422928,False
-19.9341,0.161427,24.89154,1.7658,755.5703,733.2567,73.79641,0.3935262,0.6789414,73.79641,477.1595,673.2704,51.7925,0.2485206,0.6233985,51.7925,675.0837,733.2567,65.43856,0.3516061,0.8294191,65.43856,3.29486,17.09655,5.422928,False
-19.9341,0.122187,24.89154,1.962,755.6484,732.9035,73.82465,0.3935669,0.6786144,73.82465,477.3765,672.5831,51.81578,0.2486336,0.6227621,51.81578,675.2545,732.9035,65.47781,0.3516951,0.8292217,65.47781,3.29486,17.09655,5.422928,False
-19.9341,0.07902296,24.89154,2.1582,755.7344,732.5154,73.85573,0.3936116,0.678255,73.85573,477.615,671.8276,51.8414,0.2487578,0.6220626,51.8414,675.4421,732.5154,65.52097,0.3517928,0.8290048,65.52097,3.29486,17.09655,5.422928,False
-19.9341,0.03193496,24.89154,2.3544,755.8281,732.0922,73.88962,0.3936605,0.6778632,73.88962,477.8749,671.0044,51.86934,0.2488932,0.6213003,51.86934,675.6464,732.0922,65.56805,0.3518992,0.8287685,65.56805,3.29486,17.09655,5.422928,False
-19.9341,-0.01907703,24.89154,2.5506,755.9295,731.6343,73.92635,0.3937133,0.6774392,73.92635,478.1561,670.1135,51.89961,0.2490396,0.6204755,51.89961,675.8674,731.6343,65.61906,0.3520143,0.8285129,65.61906,3.29486,17.09655,5.422928,False
-19.9341,0.002897363,24.89154,0,755.8859,731.8315,73.91052,0.3936906,0.6776218,73.91052,478.035,670.4971,51.88657,0.2489766,0.6208307,51.88657,675.7723,731.8315,65.59709,0.3519647,0.8286229,65.59709,8.77234,8.73967,6.765192,True
-19.75866,0.1737667,24.75624,13.98973,757.0868,732.6141,73.69361,0.394316,0.6783464,73.69361,481.087,675.1879,51.92639,0.2505662,0.6251739,51.92639,677.5381,732.6141,65.42622,0.3528844,0.8276902,65.42622,8.77234,8.73967,6.765192,False
-19.58321,0.3407121,24.62093,13.87078,758.3026,733.3657,73.47952,0.3949493,0.6790423,73.47952,484.1558,679.8026,51.96854,0.2521645,0.6294468,51.96854,679.3301,733.3657,65.25928,0.3538178,0.826733,65.25928,8.77234,8.73967,6.765192,False
-19.40776,0.5037335,24.48563,13.75361,759.5333,734.0862,73.26825,0.3955902,0.6797095,73.26825,487.2406,684.3408,52.01301,0.2537711,0.6336489,52.01301,681.148,734.0862,65.09626,0.3547646,0.8257512,65.09626,8.77234,8.73967,6.765192,False
-19.23231,0.6628309,24.35033,13.63824,760.7787,734.7751,73.0598,0.3962389,0.6803473,73.0598,490.3412,688.8021,52.05981,0.2553861,0.6377798,52.05981,682.9919,734.7751,64.93716,0.3557249,0.8247448,64.93716,8.77234,8.73967,6.765192,False
-19.05687,0.8180043,24.21502,13.52474,762.039,735.432,72.85419,0.3968953,0.6809556,72.85419,493.4571,693.1863,52.10894,0.2570089,0.6418391,52.10894,684.8614,735.432,64.78199,0.3566986,0.8237139,64.78199,8.77234,8.73967,6.765192,False
